origin_country,total_flights,avg_velocity,on_ground
Algeria,12,195.58083333333335,0
Angola,3,176.14,0
Argentina,23,170.02652173913043,3
Armenia,1,253.28,0
Australia,57,90.25245614035089,23
Austria,138,178.54057971014493,17
Bahrain,8,209.68875,1
Bangladesh,3,237.66333333333333,0
Belarus,1,212.84,0
Belgium,34,204.255,3
Brazil,132,161.85628787878787,6
Brunei Darussalam,2,123.085,1
Bulgaria,26,189.1123076923077,3
Cambodia,1,224.15,0
Canada,421,147.76415676959618,69
Cape Verde,1,217.04,0
Chile,48,173.875625,5
China,123,214.310081300813,8
Colombia,25,119.78120000000001,4
Costa Rica,11,58.458181818181814,2
Croatia,14,193.1757142857143,1
Cyprus,2,145.255,0
Czech Republic,31,180.22903225806454,3
Côte d'Ivoire,2,207.39,0
Denmark,22,215.26227272727274,1
Dominican Republic,8,148.88375,2
Ecuador,1,218.8,0
Egypt,26,206.08961538461537,2
Estonia,9,178.68666666666667,2
Ethiopia,17,159.8505882352941,4
Fiji,2,126.435,1
Finland,35,172.00400000000002,4
France,169,178.31177514792898,20
Gambia,1,205.45,0
Georgia,4,131.0225,2
Germany,225,179.44386666666668,27
Greece,52,154.17826923076922,12
Guatemala,6,23.271666666666665,1
Honduras,1,38.12,0
Hungary,61,201.12032786885246,3
Iceland,5,153.876,1
India,81,184.48308641975308,7
Indonesia,13,187.35615384615386,2
Ireland,332,183.15054216867472,35
Islamic Republic of Iran,2,260.04999999999995,0
Israel,6,248.57333333333335,0
Italy,22,116.00772727272728,6
Japan,53,208.97207547169813,7
Jordan,12,203.625,1
Kazakhstan,5,193.424,0
Kenya,3,199.10000000000002,0
Kingdom of the Netherlands,120,208.52133333333333,8
Kuwait,18,214.57833333333332,0
Latvia,32,172.16375,6
Lebanon,3,235.42333333333332,0
Libyan Arab Jamahiriya,2,185.405,0
Lithuania,11,153.4618181818182,3
Luxembourg,17,229.04705882352943,0
Malaysia,34,206.18117647058824,1
Maldives,1,231.69,0
Malta,269,196.75992565055762,23
Mexico,116,159.89922413793104,16
Montenegro,1,243.0,0
Morocco,35,187.76999999999998,2
Myanmar,1,239.36,0
New Zealand,23,136.62434782608696,3
Nigeria,1,210.56,0
Norway,51,209.32156862745097,2
Oman,10,238.781,0
Pakistan,6,194.95166666666668,0
Panama,27,216.6840740740741,0
Paraguay,1,82.62,0
Peru,1,218.13,0
Philippines,22,159.98454545454544,6
Poland,105,183.92038095238095,10
Portugal,57,168.93894736842105,10
Qatar,64,204.2484375,4
Republic of Korea,73,206.53972602739725,6
Republic of Moldova,8,225.045,0
Romania,22,189.2259090909091,1
Russian Federation,25,215.51,0
San Marino,5,205.698,0
Saudi Arabia,14,214.10214285714284,1
Serbia,12,169.05583333333334,1
Singapore,38,237.96157894736845,0
Slovakia,2,223.22,0
Slovenia,1,205.8,0
South Africa,5,145.12,0
Spain,212,180.7611320754717,15
Sri Lanka,8,220.40375,0
Sweden,81,204.1311111111111,3
Switzerland,102,145.84892156862745,29
Syrian Arab Republic,2,231.63,0
Taiwan,22,199.4959090909091,2
Thailand,40,234.73925,1
Trinidad and Tobago,1,199.09,0
Tunisia,11,181.54363636363635,2
Turkey,337,205.7913649851632,11
Turkmenistan,1,276.08,0
Uganda,2,103.88,0
Ukraine,8,238.91125,0
United Arab Emirates,142,207.242676056338,5
United Kingdom,426,192.8656572769953,34
United Republic of Tanzania,1,282.37,0
United States,5676,131.66005814977973,577
Uzbekistan,7,242.07285714285715,0
Venezuela,1,134.13,0
Viet Nam,28,239.29857142857145,0
