icao24,origin_country,velocity,on_ground
39de4f,France,0.0,True
a89ea5,United States,54.99,False
39de4e,France,233.0,False
a09287,United States,110.59,False
80162c,India,160.94,False
ad5612,United States,67.35,False
39de4b,France,190.38,False
39de4a,France,228.84,False
39de4d,France,212.86,False
39de4c,France,219.44,False
39de57,France,250.13,False
39de59,France,235.75,False
c07d20,Canada,4.12,True
39de51,France,207.78,False
a2cbcb,United States,89.06,False
39de50,France,201.18,False
39de54,France,260.85,False
e4a7b9,Brazil,49.92,False
a4d86a,United States,0.0,True
80163c,India,227.25,False
acdfa6,United States,235.49,False
ac4963,United States,245.66,False
a9a0fb,United States,38.95,False
a3b88e,United States,228.02,False
00b22c,South Africa,67.91,False
a36898,United States,238.29,False
a4c54a,United States,36.67,False
a3a578,United States,149.51,False
801615,India,243.25,False
ad562a,United States,241.82,False
acdfd3,United States,123.61,False
a65edc,United States,59.25,False
ad5622,United States,123.25,False
ad5623,United States,0.0,True
80161a,India,251.81,False
a23578,United States,35.94,False
ad5628,United States,233.89,False
a22248,United States,19.47,False
a89eb9,United States,32.41,False
a40ba2,United States,72.82,False
aaf64e,United States,130.88,False
acdfab,United States,101.03,False
a09279,United States,113.71,False
39de46,France,246.33,False
407a05,United Kingdom,244.71,False
39de48,France,66.76,False
39de47,France,223.02,False
ac8ff9,United States,51.02,False
a34215,United States,0.9,True
39de40,France,193.63,False
39de42,France,232.2,False
a2355d,United States,241.84,False
39de43,France,210.04,False
511187,Estonia,245.71,False
adeca5,United States,242.35,False
ab0356,United States,210.77,False
44028a,Austria,75.26,False
a2228b,United States,228.93,False
511188,Estonia,255.01,False
511189,Estonia,8.75,True
abacd2,United States,216.67,False
4acb01,Sweden,221.58,False
ad564b,United States,143.01,False
801689,India,166.63,False
51116f,Estonia,272.63,False
4bc8c8,Turkey,95.09,False
4bc8c9,Turkey,241.39,False
4bc8c7,Turkey,264.05,False
a40bfd,United States,36.72,False
4bc8c4,Turkey,245.9,False
4bc8c5,Turkey,190.43,False
4bc8c2,Turkey,222.17,False
e8024d,Chile,3.86,True
80167c,India,229.54,False
e0b1d7,Argentina,21.8,False
e8024a,Chile,224.36,False
a4d82c,United States,46.47,False
511171,Estonia,257.75,False
511172,Estonia,80.99,False
511170,Estonia,263.49,False
a127a0,United States,57.03,False
e80261,Chile,228.27,False
4bc8d9,Turkey,123.53,False
801698,India,73.05,False
801699,India,88.75,False
4bc8d5,Turkey,215.39,False
a4d838,United States,2.57,True
a2226b,United States,59.16,False
e8025f,Chile,225.87,False
ac234f,United States,0.0,True
a39bfa,United States,136.33,False
a35592,United States,0.0,True
471efb,Hungary,197.75,False
acdffc,United States,219.86,False
471efe,Hungary,249.24,False
471eff,Hungary,235.2,False
471efc,Hungary,215.87,False
e80273,Chile,229.63,False
e80274,Chile,75.23,False
ad3006,United States,98.11,False
51118a,Estonia,217.68,False
ad9cd9,United States,49.41,False
e8026e,Chile,229.46,False
aae377,United States,81.2,False
3932ee,France,34.85,False
a3556f,United States,167.06,False
801673,India,227.71,False
801678,India,71.01,False
a4c527,United States,3.86,True
ac21e4,United States,240.28,False
0d11c0,Mexico,101.71,False
adda1b,United States,76.76,False
4acb41,Sweden,221.44,False
500402,San Marino,143.4,False
4acb45,Sweden,224.31,False
a4b294,United States,0.0,True
adda24,United States,238.98,False
aae1f8,United States,144.29,False
adda25,United States,5.4,True
a9a215,United States,76.92,False
e80214,Chile,256.27,False
a02a21,United States,71.23,False
accd69,United States,202.26,False
3455d7,Spain,243.87,False
440248,Austria,134.88,False
a14a12,United States,80.22,False
a02a1e,United States,77.61,False
440251,Austria,280.23,False
4acb59,Sweden,194.52,False
a0f4a2,United States,241.51,False
0800ae,United Republic of Tanzania,282.37,False
44023f,Austria,211.65,False
a6f23d,United States,7.2,True
e8021a,Chile,232.09,False
3c5ee7,Germany,221.61,False
3c5ee6,Germany,231.75,False
3c5ee5,Germany,96.26,False
0d11e4,Mexico,89.61,False
0d11e6,Mexico,239.91,False
0d11e9,Mexico,243.01,False
4bc8cf,Turkey,247.05,False
4bc8cb,Turkey,203.81,False
4acb23,Sweden,9.26,True
4bc8ca,Turkey,235.26,False
aded77,United States,0.0,True
e48be3,Brazil,200.77,False
a96558,United States,31.08,True
a95225,United States,78.91,False
3c5ee4,Germany,225.86,False
3c5ee3,Germany,203.73,False
e80239,Chile,78.2,False
e8022a,Chile,232.05,False
0d11f4,Mexico,0.0,False
a127bb,United States,7.46,True
46b82d,Greece,255.8,False
a9521f,United States,83.98,False
46b82c,Greece,227.16,False
3c5eec,Germany,221.13,False
4bc8da,Turkey,260.47,False
a3428e,United States,196.93,False
a5d28e,United States,271.17,False
a5d28c,United States,246.54,False
e80246,Chile,2.83,True
3c5ef0,Germany,77.58,False
3c5ef5,Germany,74.71,False
a8dbbd,United States,110.98,False
3c5ef2,Germany,223.25,False
c07bc7,Canada,266.18,False
a4c56c,United States,46.14,False
440219,Austria,209.98,False
adda5e,United States,149.81,False
c0220d,Canada,242.13,False
ac490c,United States,109.71,False
46b831,Greece,253.01,False
46b832,Greece,65.44,False
46b830,Greece,221.61,False
46b835,Greece,245.77,False
aa3cfb,United States,64.97,False
46b836,Greece,5.14,True
44020c,Austria,73.92,False
44020a,Austria,182.64,False
46b838,Greece,225.06,False
a114f4,United States,163.25,False
a5958c,United States,150.99,False
a40d18,United States,103.5,False
a1ad44,United States,6.17,True
8851e4,Thailand,196.05,False
46b824,Greece,101.05,False
46b825,Greece,8.23,True
46b823,Greece,68.32,False
46b828,Greece,240.01,False
46b827,Greece,216.01,False
a39d0f,United States,16.62,False
a0f4b5,United States,71.02,False
440237,Austria,251.11,False
ab1628,United States,199.7,False
aa3ce7,United States,182.9,False
aaf617,United States,3.09,True
44022d,Austria,2.31,True
44022b,Austria,255.74,False
0d11b0,Mexico,221.04,False
a7122b,United States,113.5,False
a77eff,United States,97.35,False
